,wf_BE,wf_BS,wf_BNW
0.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.5,1.0,1.0,1.0
2.0,0.9102564102564102,1.0,1.0
2.5,0.900866329437758,1.0,1.0
3.0,0.8914762486191057,1.0,0.7134613303363304
3.5,0.7474411060720585,0.7372732948087393,0.7935349649803292
4.0,0.8814548087533682,0.8129613274569857,0.835215178710663
4.5,0.8588864543581943,0.835141920105241,0.8588151557014019
5.0,0.8705108062961604,0.8283386593526985,0.8741147176026159
5.5,0.8604731333788942,0.810390378279794,0.8744307011253112
6.0,0.8563104985507046,0.815832289695775,0.882101121809109
6.5,0.8488937214212097,0.8212228653931197,0.8933747621247401
7.0,0.8536882091472756,0.8131946996312421,0.898195661129337
7.5,0.8531520781916128,0.8162123763125327,0.8973578802025419
8.0,0.8503223338278216,0.806775110856921,0.9015810882415864
8.5,0.8580401657288104,0.8096093061889774,0.9038251136263229
9.0,0.8683802258739228,0.8255413310305936,0.9110153558143028
9.5,0.8675368836455162,0.8524584360986868,0.9129661123831384
10.0,0.8736247558819387,0.8727435847908501,0.9297304711105474
10.5,0.8907242456624331,0.8891220574692236,0.9316536591225085
11.0,0.8700704500602305,0.9039086064772208,0.9442886262486685
11.5,0.8967972589921894,0.9458404661076925,0.9424096074889958
12.0,0.9171185383111355,0.9765842534652827,0.9559257470940665
12.5,0.9285090067433805,0.9861605057572737,0.9631478095600228
13.0,0.9597355539711319,0.990447852532969,0.9715700400608694
13.5,0.9409985224194704,0.9937811771063307,0.9827919848734679
14.0,0.9581350190254712,0.996291787496917,0.9757920113401141
14.5,0.9633447752667368,0.9960451066191012,0.9905546175875387
15.0,0.919678558919024,0.9986122113871818,0.9742975534420445
15.5,0.8760123425713109,0.9992123314499765,0.9954470693556909
16.0,0.9349202397499589,0.9996358996765453,0.995417887798455
16.5,0.9954255365080764,0.9992322945670022,0.9963620243579061
17.0,1.0,0.9991897321428571,0.9992980810086428
17.5,0.9990860751080093,0.9987425178362992,0.9987802330211875
18.0,0.9844111946305878,0.9985166130694434,0.9999166666666668
18.5,0.9674654684639707,0.9982907083025878,0.9998333333333334
19.0,0.9716397351329885,0.9998572142500178,1.0
19.5,0.9716397351329885,0.9931215607803903,1.0
20.0,1.0,1.0,1.0
20.5,1.0,1.0,1.0
21.0,1.0,1.0,1.0
21.5,1.0,1.0,1.0
22.0,1.0,1.0,1.0
22.5,1.0,1.0,1.0
23.0,1.0,1.0,1.0
23.5,1.0,1.0,1.0
24.0,1.0,1.0,1.0
24.5,1.0,1.0,1.0
25.0,1.0,1.0,1.0
25.5,1.0,1.0,1.0
